mesh_code,resource_name,download_url,system,bounds_wgs84,available_in_ckan
07DD1,fr_mesh20m_07DD1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/029597bb-a8dd-4244-b2b5-2161c94c2da5/download/fr_mesh20m_07dd1_2025.7z,第7系 (VII),"[136.7119, 37.7564, 136.9397, 37.8923]",Yes
07ED1,fr_mesh20m_07ED1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/7cbe183c-471a-4452-9262-a3985a56a038/download/fr_mesh20m_07ed1_2025.7z,第7系 (VII),"[136.7135, 37.4861, 136.9405, 37.6219]",Yes
07ED2,fr_mesh20m_07ED2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/2e9db6b3-fe97-4517-9d72-dd69d2263127/download/fr_mesh20m_07ed2_2025.7z,第7系 (VII),"[136.9401, 37.4868, 137.1667, 37.6222]",Yes
07ED3,fr_mesh20m_07ED3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/8c965c1d-6b18-444b-81b9-79c0088b4705/download/fr_mesh20m_07ed3_2025.7z,第7系 (VII),"[136.7143, 37.351, 136.9409, 37.4868]",Yes
07ED4,fr_mesh20m_07ED4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/e28c25f6-0fa3-459a-8ca5-72d5bc9baceb/download/fr_mesh20m_07ed4_2025.7z,第7系 (VII),"[136.9405, 37.3516, 137.1667, 37.487]",Yes
07EE1,fr_mesh20m_07EE1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/07fd747e-f0f6-48ef-a5f5-54c235b09bfa/download/fr_mesh20m_07ee1_2025.7z,第7系 (VII),"[137.1667, 37.4868, 137.3932, 37.6222]",Yes
07EE3,fr_mesh20m_07EE3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/1fb79e10-0782-4a4c-a0b6-472f418f0d16/download/fr_mesh20m_07ee3_2025.7z,第7系 (VII),"[137.1667, 37.3516, 137.3928, 37.487]",Yes
07FC2,fr_mesh20m_07FC2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/83cbcb98-6512-412c-ba4f-d0db110164fe/download/fr_mesh20m_07fc2_2025.7z,第7系 (VII),"[136.4894, 37.2147, 136.716, 37.351]",Yes
07FC4,fr_mesh20m_07FC4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/567c1427-810d-4341-961e-60d5017aeaa8/download/fr_mesh20m_07fc4_2025.7z,第7系 (VII),"[136.4906, 37.0796, 136.7168, 37.2158]",Yes
07FD1,fr_mesh20m_07FD1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/6c600da6-81e2-4eab-b104-676a317055b0/download/fr_mesh20m_07fd1_2025.7z,第7系 (VII),"[136.7152, 37.2158, 136.9413, 37.3516]",Yes
07FD2,fr_mesh20m_07FD2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/7105405e-8c32-4a23-8cfc-12328ac9b0d8/download/fr_mesh20m_07fd2_2025.7z,第7系 (VII),"[136.9409, 37.2164, 137.1667, 37.3518]",Yes
07FD3,fr_mesh20m_07FD3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/7a221894-7995-4b03-9d89-1a1d268d49d1/download/fr_mesh20m_07fd3_2025.7z,第7系 (VII),"[136.716, 37.0806, 136.9417, 37.2164]",Yes
07FD4,fr_mesh20m_07FD4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/e75ebf85-7dda-4f31-be79-5744f4b51cf5/download/fr_mesh20m_07fd4_2025.7z,第7系 (VII),"[136.9413, 37.0813, 137.1667, 37.2167]",Yes
07FE1,fr_mesh20m_07FE1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/0b740551-4bcc-41ed-9654-beef781460c4/download/fr_mesh20m_07fe1_2025.7z,第7系 (VII),"[137.1667, 37.2164, 137.3924, 37.3518]",Yes
07GD1,fr_mesh20m_07GD1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/d2bffba6-3844-4a37-9f75-dc4cc1b319e7/download/fr_mesh20m_07gd1_2025.7z,第7系 (VII),"[136.7168, 36.9455, 136.9421, 37.0813]",Yes
07GD2,fr_mesh20m_07GD2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/e844d373-e050-4e08-b52e-f222042a77b2/download/fr_mesh20m_07gd2_2025.7z,第7系 (VII),"[136.9417, 36.9461, 137.1667, 37.0815]",Yes
07GD3,fr_mesh20m_07GD3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/923f5be9-8d6f-4904-b0f6-5b0907b292f7/download/fr_mesh20m_07gd3_2025.7z,第7系 (VII),"[136.7176, 36.8103, 136.9425, 36.9461]",Yes
07GD4,fr_mesh20m_07GD4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/40c6f143-bd67-471b-98f0-f3bac8757999/download/fr_mesh20m_07gd4_2025.7z,第7系 (VII),"[136.9421, 36.8109, 137.1667, 36.9463]",Yes
07HC2,fr_mesh20m_07HC2_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/9b6d064a-af18-4ed5-a8ab-b30845374556/download/fr_mesh20m_07hc2_2025.7z,第7系 (VII),"[136.4942, 36.6741, 136.7191, 36.8103]",Yes
07HC4,fr_mesh20m_07HC4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/b8084952-c450-440d-894f-50ee960d89f8/download/fr_mesh20m_07hc4_2025.7z,第7系 (VII),"[136.4954, 36.5389, 136.7199, 36.6751]",Yes
07HD1,fr_mesh20m_07HD1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/49cae021-9946-4db0-ab5b-d0202a80a0b8/download/fr_mesh20m_07hd1_2025.7z,第7系 (VII),"[136.7184, 36.6751, 136.9429, 36.8109]",Yes
07HD3,fr_mesh20m_07HD3_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/31bbfc73-79a7-426a-a737-5bc1886d02f2/download/fr_mesh20m_07hd3_2025.7z,第7系 (VII),"[136.7191, 36.5399, 136.9433, 36.6757]",Yes
07IB4,fr_mesh20m_07IB4_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/bf68b292-52f4-4ec5-aa18-87f0187a1063/download/fr_mesh20m_07ib4_2025.7z,第7系 (VII),"[136.0518, 36.2652, 136.2763, 36.4023]",Yes
07IC1,fr_mesh20m_07IC1_2025.7z,https://www.geospatial.jp/ckan/dataset/b8386aec-f565-4907-bd70-b231129885c4/resource/bc1741b5-72a1-4b00-b369-d8197dd3ada9/download/fr_mesh20m_07ic1_2025.7z,第7系 (VII),"[136.2732, 36.4023, 136.4977, 36.5389]",Yes
